repo,year_month,lines_added,commits
.github,2024-10-01,22,2
agenda-jour-fixe,2024-06-01,28,9
agenda-jour-fixe,2024-07-01,44,23
agenda-jour-fixe,2024-08-01,37,19
agenda-jour-fixe,2024-09-01,19,4
agenda-jour-fixe,2024-10-01,17,10
agenda-jour-fixe,2024-11-01,47,8
agenda-jour-fixe,2024-12-01,45,41
agenda-jour-fixe,2025-01-01,90,60
agenda-jour-fixe,2025-02-01,48,28
agenda-jour-fixe,2025-03-01,13,6
agenda-jour-fixe,2025-04-01,4,2
agenda-jour-fixe,2025-05-01,79,25
agenda-jour-fixe,2025-06-01,45,20
agenda-jour-fixe,2025-07-01,87,26
agenda-jour-fixe,2025-08-01,23,22
agenda-jour-fixe,2025-09-01,77,26
agenda-jour-fixe,2025-10-01,68,13
agenda-jour-fixe,2025-11-01,27,16
digital-work-lab.github.io,2024-05-01,1,1
handbook,2023-05-01,578,21
handbook,2023-06-01,2737,108
handbook,2023-07-01,1272,73
handbook,2023-08-01,1035,100
handbook,2023-09-01,828,135
handbook,2023-10-01,267,36
handbook,2023-11-01,101,11
handbook,2023-12-01,793,88
handbook,2024-01-01,1985,173
handbook,2024-02-01,121,43
handbook,2024-03-01,103,19
handbook,2024-04-01,189,38
handbook,2024-05-01,319,56
handbook,2024-06-01,1556,94
handbook,2024-07-01,1680,176
handbook,2024-08-01,354,57
handbook,2024-09-01,1522,170
handbook,2024-10-01,1085,119
handbook,2024-11-01,2966,153
handbook,2024-12-01,5686,194
handbook,2025-01-01,1831,80
handbook,2025-02-01,491,67
handbook,2025-03-01,673,72
handbook,2025-04-01,720,78
handbook,2025-05-01,626,58
handbook,2025-06-01,499,76
handbook,2025-07-01,1242,124
handbook,2025-08-01,4486,196
handbook,2025-09-01,4612,119
handbook,2025-10-01,570,74
handbook,2025-11-01,1240,153
handbook,2025-12-01,39,3
labot,2024-05-01,1,1
labot,2024-11-01,7,1
labot,2024-12-01,57,8
labot,2025-01-01,56,9
