repo,year_month,lines_added,commits
aicompetencemed,2025-03-01,33,1
aicompetencemed,2025-08-01,7,2
alg-org,2024-10-01,101,4
alg-org,2025-02-01,3,1
alg-org,2025-05-01,6,1
alg-org,2025-06-01,111,1
alg-org,2025-07-01,40,1
alg-org,2025-08-01,11,1
alg-org,2025-11-01,5,1
beals,2025-03-01,2400,7
beals,2025-04-01,30,2
beals,2025-07-01,52,4
beals,2025-08-01,552,14
beals,2025-09-01,375,8
beals,2025-10-01,308,10
beals,2025-11-01,329,14
colrev-manuscript,2021-04-01,73,1
colrev-manuscript,2021-05-01,793,4
colrev-manuscript,2021-07-01,309,1
colrev-manuscript,2021-08-01,133,1
colrev-manuscript,2021-11-01,15,1
colrev-manuscript,2022-04-01,93,1
colrev-manuscript,2022-06-01,10,2
colrev-manuscript,2023-05-01,7,1
colrev-manuscript,2023-07-01,18,2
colrev-manuscript,2023-11-01,286,7
colrev-manuscript,2023-12-01,333,5
colrev-manuscript,2024-01-01,297,12
colrev-manuscript,2024-02-01,157,6
colrev-manuscript,2024-03-01,47,1
colrev-manuscript,2025-05-01,2,1
dec-proc-ex,2021-04-01,1033,9
dec-proc-ex,2021-05-01,291,1
dec-proc-ex,2021-08-01,358,15
dec-proc-ex,2021-09-01,2,1
edu-res,2024-10-01,265,2
edu-res,2024-11-01,14,2
edu-res,2024-12-01,36,4
edu-res,2025-01-01,10,2
genailr,2023-12-01,195,2
genailr,2024-01-01,80,2
genailr,2024-02-01,71,4
genailr,2024-03-01,1043,12
genailr,2024-04-01,1210,32
genailr,2024-11-01,1,1
genailr,2024-12-01,5,1
git-collaboration,2024-03-01,414,2
git-collaboration,2024-04-01,341,9
git-collaboration,2024-05-01,551,9
git-collaboration,2024-06-01,158,11
git-collaboration,2024-07-01,426,24
git-collaboration,2024-08-01,272,19
git-collaboration,2024-09-01,376,20
git-collaboration,2024-10-01,6,2
git-collaboration,2024-11-01,119,6
git-collaboration,2024-12-01,22,1
git-collaboration,2025-01-01,704,11
git-collaboration,2025-02-01,1415,29
git-collaboration,2025-03-01,1433,37
git-collaboration,2025-04-01,196,9
git-collaboration,2025-07-01,113,11
git-collaboration,2025-08-01,782,36
lab-handbooks,2025-01-01,76,7
lab-handbooks,2025-02-01,76,4
lab-handbooks,2025-03-01,7,2
lab-handbooks,2025-04-01,3,2
lab-handbooks,2025-05-01,122,3
lab-handbooks,2025-06-01,517,9
lab-handbooks,2025-07-01,154,9
lab-handbooks,2025-09-01,1,1
lab-handbooks,2025-10-01,593,29
lab-handbooks,2025-11-01,1462,44
lr-dedupe-benchmark,2025-03-01,478,2
lr-dedupe-benchmark,2025-09-01,440,4
lr-dedupe-benchmark,2025-10-01,789,8
lr-search,2020-10-01,111,1
lr-search,2020-11-01,56,1
lr-search,2021-02-01,560,1
lr-search,2021-03-01,474,1
lr-search,2021-11-01,381,1
lr-search,2022-06-01,45,2
lr-search,2023-01-01,1208,12
lr-search,2023-02-01,622,3
lr-search,2023-03-01,1280,22
lr-search,2023-04-01,735,22
lr-search,2023-09-01,176,3
lr-search,2023-10-01,6,2
lr-search,2024-01-01,230,5
lr-search,2024-02-01,14,1
lrdm,2022-02-01,490,5
lrdm,2022-03-01,550,5
lrdm,2022-04-01,149,4
lrdm,2022-05-01,21,2
lrdm,2022-06-01,264,3
lrdm,2022-07-01,245,6
lrdm,2022-08-01,176,3
lrdm,2022-09-01,149,2
lrdm,2022-10-01,47,1
lrdm,2022-12-01,101,1
lrdm,2023-01-01,185,2
lrdm,2023-05-01,5,1
lrdm,2023-09-01,443,6
lrdm,2023-10-01,85,3
lrdm,2023-12-01,227,4
lrdm,2024-01-01,73,3
lrdm,2024-05-01,12,1
lrdm,2024-07-01,67,3
lrdm,2024-09-01,615,7
lrdm,2024-10-01,5,1
lrdm,2024-12-01,411,15
lrdm,2025-01-01,653,16
lrdm,2025-02-01,430,18
lrdm,2025-05-01,369,8
lrdm,2025-06-01,147,6
lrdm,2025-11-01,51,2
paper-template,2020-11-01,73,2
paper-template,2021-01-01,10,1
paper-template,2021-03-01,12,2
paper-template,2021-09-01,2,1
paper-template,2025-01-01,11,1
paper-template,2025-05-01,6,1
paper-template,2025-09-01,1,1
teapad,2024-09-01,107,2
teapad,2024-12-01,140,4
teapad,2025-01-01,252,7
teapad,2025-09-01,1,1
teapad,2025-10-01,15,1
theory-elaboration-manuscript,2020-11-01,473,2
theory-elaboration-manuscript,2020-12-01,1413,4
theory-elaboration-manuscript,2021-01-01,1145,5
theory-elaboration-manuscript,2021-02-01,435,3
theory-elaboration-manuscript,2021-03-01,634,5
theory-elaboration-manuscript,2021-04-01,243,3
theory-elaboration-manuscript,2021-05-01,49,1
theory-elaboration-manuscript,2021-06-01,3,1
theory-elaboration-manuscript,2021-11-01,2,1
theory-elaboration-manuscript,2024-12-01,5,1
theory-elaboration-manuscript,2025-09-01,1,1
