repo,year_month,lines_added,commits
digital-work-lecture,2023-06-01,4706,2
digital-work-lecture,2024-01-01,248,1
digital-work-lecture,2024-02-01,56,2
digital-work-lecture,2024-04-01,1046,12
digital-work-lecture,2024-05-01,690,12
digital-work-lecture,2024-06-01,453,5
digital-work-lecture,2024-07-01,262,4
digital-work-lecture,2024-08-01,10,1
digital-work-lecture,2024-09-01,205,1
digital-work-lecture,2024-10-01,620,33
digital-work-lecture,2024-11-01,29,3
digital-work-lecture,2024-12-01,5,1
digital-work-lecture,2025-01-01,174,3
digital-work-lecture,2025-02-01,3,1
digital-work-lecture,2025-03-01,2,1
digital-work-lecture,2025-04-01,723,22
digital-work-lecture,2025-05-01,1349,19
digital-work-lecture,2025-06-01,813,13
digital-work-lecture,2025-07-01,251,13
digital-work-lecture,2025-09-01,18,1
digital-work-lecture,2025-11-01,2,2
literature-review-seminar,2023-10-01,1807,2
literature-review-seminar,2024-01-01,454,20
literature-review-seminar,2024-02-01,29,7
literature-review-seminar,2024-03-01,8,5
literature-review-seminar,2024-04-01,20,1
literature-review-seminar,2024-05-01,509,16
literature-review-seminar,2024-06-01,65,6
literature-review-seminar,2024-07-01,36,5
literature-review-seminar,2024-08-01,25,7
literature-review-seminar,2024-09-01,16,3
literature-review-seminar,2024-10-01,1471,65
literature-review-seminar,2024-11-01,251,15
literature-review-seminar,2024-12-01,25,8
literature-review-seminar,2025-01-01,291,34
literature-review-seminar,2025-02-01,476,46
literature-review-seminar,2025-03-01,31,8
literature-review-seminar,2025-04-01,32,9
literature-review-seminar,2025-05-01,960,44
literature-review-seminar,2025-06-01,1254,4
literature-review-seminar,2025-07-01,178,14
literature-review-seminar,2025-09-01,4,1
literature-review-seminar,2025-10-01,10,1
literature-review-seminar,2025-11-01,131,17
open-source-collaboration-game,2023-06-01,537,5
open-source-collaboration-game,2023-10-01,3,2
open-source-collaboration-game,2024-06-01,8,2
open-source-collaboration-game,2024-08-01,7,1
open-source-collaboration-game,2024-09-01,3,1
open-source-collaboration-game,2025-06-01,5,2
open-source-collaboration-game,2025-07-01,7,1
open-source-project,2023-09-01,1467,1
open-source-project,2023-10-01,1260,4
open-source-project,2024-01-01,81,1
open-source-project,2024-02-01,518,4
open-source-project,2024-03-01,109,12
open-source-project,2024-04-01,723,29
open-source-project,2024-05-01,591,25
open-source-project,2024-06-01,173,18
open-source-project,2024-07-01,347,19
open-source-project,2024-08-01,381,26
open-source-project,2024-09-01,672,44
open-source-project,2024-10-01,3426,184
open-source-project,2024-11-01,1146,45
open-source-project,2024-12-01,1540,78
open-source-project,2025-01-01,366,41
open-source-project,2025-02-01,16,3
open-source-project,2025-03-01,158,22
open-source-project,2025-04-01,125,9
open-source-project,2025-05-01,285,22
open-source-project,2025-06-01,3,1
open-source-project,2025-07-01,53,10
open-source-project,2025-08-01,110,5
open-source-project,2025-09-01,9,2
open-source-project,2025-11-01,1235,26
open-source-project,2025-12-01,67,6
slides-template,2024-06-01,31,1
slides-template,2024-08-01,8,1
teaching-hub,2025-10-01,639,5
teaching-hub,2025-11-01,392,4
theses,2024-02-01,495,26
theses,2024-03-01,6,3
theses,2024-04-01,20,6
theses,2024-05-01,29,3
theses,2024-06-01,520,34
theses,2024-07-01,62,11
theses,2024-08-01,78,9
theses,2024-09-01,33,2
theses,2024-10-01,157,31
theses,2024-11-01,7,5
theses,2024-12-01,113,14
theses,2025-01-01,218,13
theses,2025-02-01,716,17
theses,2025-03-01,41,11
theses,2025-04-01,27,5
theses,2025-05-01,148,10
theses,2025-06-01,49,4
theses,2025-07-01,218,14
theses,2025-09-01,5,3
theses,2025-10-01,13,5
thesis-template,2019-07-01,15,3
thesis-template,2019-08-01,235,4
thesis-template,2019-09-01,50,6
thesis-template,2019-10-01,9,3
thesis-template,2020-01-01,43,11
thesis-template,2021-01-01,2,1
thesis-template,2021-02-01,2,1
thesis-template,2021-09-01,1,1
thesis-template,2022-01-01,1,1
thesis-template,2022-10-01,224,3
thesis-template,2022-11-01,4,3
thesis-template,2022-12-01,13,1
thesis-template,2023-03-01,6,1
thesis-template,2023-09-01,2,2
thesis-template,2023-10-01,14,1
thesis-template,2023-11-01,8,1
thesis-template,2024-02-01,5,1
thesis-template,2024-06-01,7,1
thesis-template,2024-07-01,1,1
thesis-template,2024-08-01,9,1
thesis-template,2024-11-01,4,1
thesis-template,2024-12-01,6,2
thesis-template,2025-01-01,5,2
thesis-template,2025-06-01,2,1
