id,title,venue,location,date,latitude,longitude
wagner_ai_clinical_practice_2025,Artificial Intelligence in Clinical Practice,Universität Passau,"Passau, Germany",2025-04-07,48.5667,13.4667
wagner_algorithmic_organizing_2025,Algorithmic Organizing in Complex Ecosystems,Frankfurt School of Finance and Management,"Frankfurt, Germany",2025-07-17,50.1109,8.6821
wagner_automation_ai_data_2025,"Automation, AI and Data in the Conduct of Literature Reviews",HEC Montréal,"Montréal, Canada",2025-11-29,45.5017,-73.5673
wagner_beyond_gig_work_2022,Beyond Gig-Work: Conceptual Foundations of Digital Platforms for Knowledge Work Services,Technical University of Darmstadt,"Darmstadt, Germany",2022-01-27,49.8728,8.6512
wagner_conceptual_foundations_platforms_2022,Developing the Conceptual Foundations of Digital Platforms for Knowledge Work Services: A Scoping Review,Technical University of Dortmund,"Dortmund, Germany",2022-01-26,51.5136,7.4653
wagner_contracting_digital_knowledge_work_2021,Contracting Decisions on Digital Markets for Knowledge Work Services: A Qualitative Systematic Review,41st International Conference on Information Systems,"Austin, Texas, USA",2021-12-14,30.2672,-97.7431
wagner_contracting_digital_knowledge_work_bamberg_2021,Contracting of Digital Knowledge Work Services,University of Bamberg,"Bamberg, Germany",2021-06-30,49.8917,10.8864
wagner_data_preparation_tidy_data_2019,Data Preparation -- Principles of Tidy Data Structures,Universität Bayreuth,"Bayreuth, Germany",2019-10-24,49.9456,11.5713
wagner_design_recommender_ideational_impact_2018,Design of Academic Recommender Systems for Ideational Impact,Université Laval,"Québec, Canada",2018-11-09,46.8139,-71.2080
wagner_digital_platforms_knowledge_work_concepts_2021,Digital Platforms for Knowledge Work: Boundaries and Conceptual Foundations,Osnabrück University,"Osnabrück, Germany",2021-01-21,52.2799,8.0472
wagner_digital_work_cooperation_2025,Digital Work: Current Work and Cooperation Opportunities,Otto-Friedrich-Universität Bamberg,"Bamberg, Germany",2025-07-16,49.8917,10.8864
wagner_digitalization_knowledge_work_2024,Digitalization of Knowledge Work: Advancing the Dialogue Between Research and Practice,Otto-Friedrich-Universität Bamberg,"Bamberg, Germany",2024-10-22,49.8917,10.8864
wagner_dsr_cumulative_knowledge_2018,Information Systems Design Science Research and Cumulative Knowledge Development,39th International Conference on Information Systems,"San Francisco, USA",2018-12-14,37.7749,-122.4194
wagner_dsr_scientific_impact_2017,Exploring the Scientific Impact of Information Systems Design Science Research,38th International Conference on Information Systems,"Seoul, South Korea",2017-12-13,37.5665,126.9780
wagner_epistemological_advancements_is_2017,Epistemological Advancements in IS Research: A Study of Selected Genres,Doctoral Research Colloquium (MIS),"Regensburg, Germany",2017-01-09,49.0134,12.1016
wagner_epistemology_literature_reviews_2016,Epistemology and Literature Reviews: A Synthesis,HEC Montréal,"Montréal, Canada",2016-05-19,45.5017,-73.5673
wagner_exploring_platform_boundaries_processes_2020,Exploring the Boundaries and Processes of Digital Platforms for Knowledge Work,FAU Erlangen-Nürnberg,"Nuremberg, Germany",2020-06-08,49.4521,11.0767
wagner_ideational_impact_is_research_2019,Classifying the Ideational Impact in IS Research,University of Innsbruck,"Innsbruck, Austria",2019-01-09,47.2692,11.4041
wagner_ideational_impact_review_articles_2018,Classifying the Ideational Impact of IS Review Articles,FAU Erlangen-Nürnberg,"Nuremberg, Germany",2018-11-26,49.4521,11.0767
wagner_management_digital_service_platforms_2021,Management of Digital Service Platforms: Insights from a Review Paper,TU Dresden,"Dresden, Germany",2021-10-28,51.0504,13.7373
wagner_philosophy_knowledge_review_papers_2015,Philosophy of Knowledge for Review Papers,Doctoral Research Colloquium (MIS),"Regensburg, Germany",2015-12-07,49.0134,12.1016
wagner_platform_design_mechanisms_c2c_2021,"A Framework of Platform Design Mechanisms, Platform Congruence and Value Creation on C2C Platforms",29th European Conference on Information Systems,"Marrakesh, Morocco",2021-06-15,31.6295,-7.9811
wagner_platforms_digital_knowledge_work_scoping_2019,Information Systems Research on Platforms for Digital Knowledge Work,FAU Erlangen-Nürnberg,"Nuremberg, Germany",2019-05-27,49.4521,11.0767
wagner_platforms_knowledge_work_services_2021,Digital Platforms for Knowledge Work Services: Exploring Boundaries and Processes,University of Innsbruck,"Innsbruck, Austria",2021-11-15,47.2692,11.4041
wagner_platforms_value_exchange_2019,Digital Platforms Mediating Value Exchange in External Networks,University of Innsbruck,"Innsbruck, Austria",2019-04-25,47.2692,11.4041
wagner_reading_skimming_corpora_2020,Designing a Novel Strategy for Reading and Skimming Literature Corpora,28th European Conference on Information Systems,"Marrakech, Morocco",2020-06-15,31.6300,-8.0089
wagner_recommender_ideational_impact_2018,Academic Recommender Systems Based on Ideational Impact,HEC Montréal,"Montréal, Canada",2018-11-23,45.5017,-73.5673
wagner_recommender_system_design_deep_learning_2019,Academic Recommender System Design: A Deep-Learning Approach,Universität Bayreuth,"Bayreuth, Germany",2019-10-25,49.9456,11.5713
wagner_scientific_impact_is_2019,Explaining and Distinguishing Scientific Impact in Information Systems Research,Universität Regensburg,"Regensburg, Germany",2019-07-23,49.0134,12.1016
wagner_scientific_impact_literature_reviews_2016,Factors Affecting the Scientific Impact of Literature Reviews,37th International Conference on Information Systems,"Dublin, Ireland",2016-12-13,53.3498,-6.2603
wagner_scientometric_study_review_papers_2016,An Exploratory Scientometric Study on the Scientific Impact of Review Papers,Doctoral Research Colloquium (MIS),"Regensburg, Germany",2016-12-05,49.0134,12.1016
wagner_scientometric_study_scientific_impact_2017,An Exploratory Scientometric Study on the Scientific Impact,Doctoral Research Colloquium (MIS),"Regensburg, Germany",2017-12-04,49.0134,12.1016
wagner_theoretical_reviews_giants_shoulders_2018,Have Information Systems Theoretical Reviews Made the Giant’s Shoulders a Little Higher?,Queen’s -- HEC Research Workshop,"Kingston, Canada",2018-06-08,44.2312,-76.4860
wagner_theory_elaboration_2021,Theory Elaboration in Management and Organizational Studies,HEC Montréal,"Montréal, Canada",2021-02-26,45.5017,-73.5673
wagner_theory_knowledge_literature_reviews_2015,Theory of Knowledge for Literature Reviews,36th International Conference on Information Systems,"Fort Worth, Texas, USA",2015-12-15,32.7555,-97.3308
wagner_unique_is_concepts_2020,Seeking Out Clear and Unique Information Systems Concepts: A Natural Language Processing Approach,28th European Conference on Information Systems,"Marrakech, Morocco",2020-06-15,31.6300,-8.0089
